age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
27.00,services,married,secondary,no,0.00,yes,no,cellular,23.00,jul,198.00,13.00,-1.00,0.00,unknown,no
48.00,blue-collar,married,secondary,no,157.00,yes,no,unknown,6.00,may,73.00,1.00,-1.00,0.00,unknown,no
49.00,admin.,married,secondary,no,2465.00,no,no,cellular,20.00,aug,157.00,3.00,-1.00,0.00,unknown,no
35.00,blue-collar,married,primary,no,0.00,yes,no,cellular,24.00,jul,90.00,6.00,-1.00,0.00,unknown,no
47.00,self-employed,married,secondary,yes,2.00,no,no,cellular,5.00,feb,236.00,2.00,-1.00,0.00,unknown,no
54.00,management,married,tertiary,no,0.00,no,no,cellular,16.00,jul,118.00,5.00,-1.00,0.00,unknown,no
39.00,management,single,tertiary,no,12437.00,no,no,telephone,18.00,nov,40.00,1.00,-1.00,0.00,unknown,no
28.00,student,single,secondary,no,378.00,yes,no,cellular,17.00,apr,346.00,1.00,-1.00,0.00,unknown,no
54.00,blue-collar,married,primary,no,211.00,no,no,unknown,19.00,jun,200.00,2.00,-1.00,0.00,unknown,no
34.00,technician,married,secondary,no,-228.00,yes,no,cellular,20.00,apr,187.00,3.00,332.00,3.00,other,no
63.00,retired,married,secondary,no,2747.00,no,no,cellular,11.00,sep,113.00,1.00,80.00,1.00,failure,no
42.00,self-employed,married,tertiary,no,1932.00,yes,no,unknown,16.00,may,192.00,32.00,-1.00,0.00,unknown,no
43.00,technician,single,secondary,no,11269.00,no,no,unknown,29.00,may,92.00,1.00,-1.00,0.00,unknown,no
37.00,admin.,married,secondary,no,1314.00,yes,no,cellular,8.00,may,682.00,2.00,85.00,7.00,success,no
55.00,blue-collar,married,primary,no,2275.00,no,no,cellular,25.00,aug,139.00,9.00,-1.00,0.00,unknown,no
43.00,management,single,tertiary,no,1304.00,no,no,cellular,6.00,aug,501.00,2.00,-1.00,0.00,unknown,yes
41.00,blue-collar,married,secondary,yes,720.00,no,yes,cellular,24.00,jul,651.00,1.00,-1.00,0.00,unknown,yes
47.00,technician,divorced,secondary,no,2914.00,yes,no,cellular,18.00,aug,405.00,13.00,-1.00,0.00,unknown,no
34.00,technician,married,secondary,no,1464.00,yes,no,unknown,23.00,may,350.00,1.00,-1.00,0.00,unknown,no
28.00,student,single,secondary,no,11555.00,no,no,cellular,8.00,apr,125.00,2.00,-1.00,0.00,unknown,no
36.00,services,married,secondary,no,-302.00,yes,no,cellular,13.00,may,36.00,2.00,-1.00,0.00,unknown,no
50.00,technician,married,secondary,no,2497.00,yes,no,cellular,21.00,nov,35.00,1.00,176.00,1.00,failure,no
35.00,blue-collar,married,secondary,no,-339.00,yes,no,unknown,8.00,may,389.00,2.00,-1.00,0.00,unknown,no
40.00,technician,married,secondary,no,56.00,yes,yes,cellular,29.00,jan,194.00,1.00,247.00,1.00,failure,no
26.00,self-employed,single,tertiary,no,211.00,no,no,cellular,29.00,jan,168.00,3.00,-1.00,0.00,unknown,no
36.00,management,divorced,tertiary,no,3611.00,yes,no,unknown,4.00,jun,347.00,3.00,-1.00,0.00,unknown,no
59.00,unemployed,married,primary,no,0.00,no,no,cellular,30.00,jan,3025.00,2.00,-1.00,0.00,unknown,no
28.00,student,single,secondary,no,459.00,no,no,cellular,16.00,mar,83.00,13.00,-1.00,0.00,unknown,no
46.00,entrepreneur,married,unknown,no,242.00,yes,no,unknown,9.00,may,332.00,2.00,-1.00,0.00,unknown,no
50.00,self-employed,married,secondary,no,1138.00,no,no,cellular,14.00,aug,219.00,10.00,-1.00,0.00,unknown,no
53.00,management,married,tertiary,no,1319.00,yes,no,cellular,16.00,apr,427.00,1.00,150.00,1.00,failure,no
81.00,retired,married,secondary,no,1.00,no,no,cellular,19.00,aug,65.00,5.00,-1.00,0.00,unknown,no
35.00,services,divorced,secondary,no,67.00,yes,no,cellular,5.00,may,192.00,2.00,-1.00,0.00,unknown,no
58.00,retired,married,unknown,no,937.00,no,no,cellular,5.00,aug,155.00,1.00,-1.00,0.00,unknown,no
44.00,services,married,secondary,no,0.00,yes,yes,cellular,11.00,may,161.00,1.00,-1.00,0.00,unknown,no
38.00,management,married,tertiary,no,-558.00,yes,no,cellular,21.00,jul,533.00,1.00,-1.00,0.00,unknown,no
49.00,blue-collar,married,secondary,no,171.00,no,no,cellular,4.00,feb,19.00,3.00,175.00,2.00,other,no
33.00,technician,single,tertiary,no,696.00,no,yes,cellular,5.00,feb,193.00,1.00,176.00,8.00,failure,no
29.00,management,married,tertiary,no,361.00,yes,yes,cellular,28.00,jul,819.00,3.00,-1.00,0.00,unknown,no
28.00,technician,single,secondary,no,227.00,no,no,cellular,30.00,apr,278.00,1.00,-1.00,0.00,unknown,yes
31.00,admin.,married,secondary,no,236.00,yes,yes,telephone,4.00,may,211.00,3.00,-1.00,0.00,unknown,no
33.00,management,single,tertiary,no,-53.00,no,no,cellular,29.00,jan,617.00,2.00,-1.00,0.00,unknown,no
52.00,technician,married,secondary,no,192.00,yes,no,cellular,23.00,jul,61.00,2.00,-1.00,0.00,unknown,no
43.00,management,divorced,tertiary,no,38.00,yes,no,cellular,25.00,jul,197.00,6.00,-1.00,0.00,unknown,no
32.00,self-employed,single,secondary,no,518.00,yes,no,cellular,18.00,may,34.00,7.00,-1.00,0.00,unknown,no
36.00,self-employed,married,tertiary,no,16.00,yes,yes,cellular,18.00,jul,95.00,4.00,-1.00,0.00,unknown,no
41.00,blue-collar,married,secondary,no,-256.00,yes,no,unknown,3.00,jun,147.00,2.00,-1.00,0.00,unknown,no
43.00,blue-collar,married,secondary,no,105.00,no,yes,cellular,4.00,jul,668.00,2.00,-1.00,0.00,unknown,no
45.00,self-employed,married,tertiary,no,334.00,no,no,unknown,5.00,jun,87.00,2.00,-1.00,0.00,unknown,no
39.00,technician,married,secondary,no,1048.00,no,yes,cellular,21.00,jul,405.00,1.00,-1.00,0.00,unknown,no
41.00,services,married,secondary,no,108.00,yes,yes,unknown,13.00,may,83.00,7.00,-1.00,0.00,unknown,no
31.00,technician,married,secondary,no,660.00,no,no,cellular,22.00,jun,115.00,1.00,-1.00,0.00,unknown,no
37.00,unemployed,single,tertiary,yes,0.00,yes,no,cellular,10.00,jul,108.00,1.00,-1.00,0.00,unknown,no
28.00,entrepreneur,married,unknown,no,1034.00,no,no,cellular,29.00,jan,113.00,1.00,-1.00,0.00,unknown,no
47.00,housemaid,married,primary,no,201.00,yes,no,cellular,7.00,aug,58.00,2.00,382.00,1.00,failure,no
37.00,housemaid,married,primary,no,189.00,no,no,cellular,8.00,aug,148.00,4.00,-1.00,0.00,unknown,no
60.00,retired,divorced,unknown,no,-49.00,yes,no,cellular,29.00,jan,188.00,1.00,261.00,2.00,failure,no
43.00,technician,divorced,secondary,no,1413.00,yes,no,telephone,28.00,jul,75.00,3.00,-1.00,0.00,unknown,no
58.00,retired,divorced,tertiary,no,264.00,yes,yes,cellular,8.00,jul,523.00,3.00,-1.00,0.00,unknown,no
52.00,entrepreneur,married,tertiary,no,54.00,yes,yes,telephone,18.00,nov,103.00,1.00,-1.00,0.00,unknown,no
50.00,blue-collar,married,primary,no,12519.00,yes,no,cellular,17.00,apr,146.00,2.00,147.00,4.00,success,no
32.00,services,single,secondary,no,2881.00,no,no,cellular,2.00,jul,356.00,1.00,-1.00,0.00,unknown,yes
42.00,blue-collar,married,primary,no,0.00,yes,no,cellular,17.00,jul,71.00,1.00,-1.00,0.00,unknown,no
31.00,admin.,married,secondary,no,88.00,yes,yes,cellular,8.00,aug,189.00,2.00,-1.00,0.00,unknown,no
28.00,blue-collar,married,secondary,no,1020.00,yes,no,unknown,28.00,may,251.00,1.00,-1.00,0.00,unknown,no
36.00,technician,divorced,tertiary,no,119.00,no,no,cellular,23.00,jul,127.00,8.00,-1.00,0.00,unknown,no
51.00,unemployed,single,tertiary,no,1594.00,no,no,telephone,4.00,feb,197.00,1.00,-1.00,0.00,unknown,no
46.00,technician,married,tertiary,no,342.00,yes,yes,cellular,5.00,may,84.00,1.00,-1.00,0.00,unknown,no
50.00,services,single,secondary,no,72.00,no,no,unknown,8.00,may,141.00,2.00,-1.00,0.00,unknown,no
32.00,blue-collar,married,secondary,no,14.00,yes,no,unknown,2.00,jun,171.00,1.00,-1.00,0.00,unknown,no
26.00,entrepreneur,single,tertiary,no,81.00,no,no,cellular,21.00,jul,262.00,3.00,-1.00,0.00,unknown,no
41.00,self-employed,married,tertiary,no,231.00,no,no,cellular,7.00,aug,352.00,2.00,-1.00,0.00,unknown,yes
39.00,technician,married,tertiary,no,1161.00,yes,no,cellular,9.00,apr,236.00,1.00,336.00,1.00,failure,no
31.00,blue-collar,married,secondary,no,-45.00,yes,no,unknown,2.00,jun,184.00,1.00,-1.00,0.00,unknown,no
28.00,management,single,tertiary,no,231.00,yes,yes,cellular,25.00,jul,568.00,2.00,-1.00,0.00,unknown,no
31.00,management,single,secondary,no,36.00,no,no,cellular,27.00,aug,105.00,2.00,-1.00,0.00,unknown,no
30.00,technician,married,tertiary,no,1570.00,yes,no,cellular,26.00,may,260.00,1.00,-1.00,0.00,unknown,no
35.00,technician,married,tertiary,no,7050.00,no,no,cellular,11.00,aug,222.00,3.00,182.00,4.00,success,yes
33.00,blue-collar,married,primary,no,3704.00,yes,no,unknown,6.00,jun,447.00,2.00,-1.00,0.00,unknown,no
30.00,technician,single,tertiary,no,6619.00,yes,no,cellular,21.00,aug,239.00,8.00,-1.00,0.00,unknown,no
32.00,blue-collar,single,secondary,no,-84.00,yes,no,cellular,11.00,may,426.00,1.00,-1.00,0.00,unknown,no
40.00,management,single,tertiary,no,1509.00,no,no,cellular,12.00,may,333.00,1.00,58.00,3.00,failure,no
31.00,self-employed,married,tertiary,no,1134.00,no,no,cellular,6.00,feb,174.00,2.00,-1.00,0.00,unknown,no
36.00,technician,married,secondary,no,146.00,yes,yes,unknown,15.00,may,284.00,2.00,-1.00,0.00,unknown,no
33.00,management,single,tertiary,no,9449.00,yes,no,cellular,8.00,may,428.00,1.00,-1.00,0.00,unknown,no
57.00,retired,married,secondary,no,374.00,yes,yes,cellular,16.00,jul,236.00,1.00,-1.00,0.00,unknown,no
45.00,technician,married,secondary,no,88.00,no,no,cellular,29.00,aug,150.00,2.00,-1.00,0.00,unknown,no
59.00,management,married,tertiary,no,2764.00,no,no,cellular,24.00,dec,237.00,1.00,206.00,2.00,failure,no
30.00,management,single,tertiary,no,2.00,yes,yes,cellular,25.00,jul,1031.00,8.00,-1.00,0.00,unknown,yes
33.00,technician,married,tertiary,no,8023.00,no,no,cellular,30.00,nov,107.00,1.00,105.00,3.00,failure,no
52.00,blue-collar,married,secondary,no,289.00,yes,no,unknown,21.00,may,45.00,13.00,-1.00,0.00,unknown,no
83.00,retired,married,secondary,no,0.00,no,no,cellular,18.00,mar,140.00,10.00,-1.00,0.00,unknown,no
58.00,self-employed,divorced,tertiary,no,1382.00,no,no,unknown,9.00,jun,700.00,1.00,-1.00,0.00,unknown,yes
33.00,management,divorced,tertiary,yes,280.00,no,yes,cellular,18.00,nov,155.00,1.00,-1.00,0.00,unknown,no
41.00,blue-collar,divorced,primary,no,2195.00,yes,no,unknown,3.00,jun,211.00,5.00,-1.00,0.00,unknown,no
31.00,self-employed,married,secondary,no,33.00,no,no,cellular,6.00,aug,165.00,4.00,-1.00,0.00,unknown,no
35.00,blue-collar,divorced,secondary,no,275.00,no,yes,cellular,10.00,jul,144.00,5.00,-1.00,0.00,unknown,no
27.00,management,single,tertiary,no,703.00,yes,no,unknown,5.00,jun,590.00,3.00,-1.00,0.00,unknown,yes
57.00,admin.,divorced,unknown,no,887.00,no,no,unknown,20.00,jun,43.00,8.00,-1.00,0.00,unknown,no
56.00,unknown,married,unknown,no,0.00,no,no,unknown,20.00,jun,471.00,2.00,-1.00,0.00,unknown,no
53.00,admin.,single,secondary,no,1178.00,yes,no,unknown,15.00,may,295.00,2.00,-1.00,0.00,unknown,no
39.00,management,married,tertiary,no,2763.00,yes,no,unknown,2.00,jun,526.00,2.00,-1.00,0.00,unknown,yes
32.00,entrepreneur,single,tertiary,no,890.00,yes,yes,cellular,28.00,aug,27.00,10.00,-1.00,0.00,unknown,no
46.00,self-employed,married,secondary,no,548.00,no,no,cellular,12.00,aug,1181.00,4.00,-1.00,0.00,unknown,yes
56.00,technician,married,tertiary,no,272.00,no,no,cellular,26.00,aug,103.00,2.00,-1.00,0.00,unknown,no
46.00,management,divorced,tertiary,no,6269.00,yes,no,telephone,18.00,nov,249.00,3.00,112.00,2.00,failure,no
29.00,entrepreneur,married,secondary,no,178.00,yes,no,cellular,5.00,may,231.00,4.00,-1.00,0.00,unknown,no
60.00,management,married,primary,no,252.00,yes,yes,cellular,13.00,apr,123.00,2.00,147.00,3.00,failure,no
33.00,housemaid,single,tertiary,no,23663.00,yes,no,cellular,16.00,apr,199.00,2.00,146.00,2.00,failure,no
27.00,entrepreneur,single,tertiary,no,81.00,no,no,cellular,5.00,feb,197.00,1.00,199.00,3.00,failure,no
50.00,self-employed,divorced,tertiary,no,59.00,yes,no,unknown,28.00,may,67.00,2.00,-1.00,0.00,unknown,no
45.00,services,married,secondary,no,1343.00,no,yes,cellular,8.00,jul,220.00,1.00,-1.00,0.00,unknown,no
58.00,retired,married,secondary,no,225.00,no,no,cellular,7.00,aug,122.00,6.00,-1.00,0.00,unknown,no
59.00,retired,married,primary,no,0.00,yes,no,unknown,26.00,may,104.00,7.00,-1.00,0.00,unknown,no
58.00,retired,divorced,primary,no,2538.00,yes,no,cellular,31.00,jul,307.00,6.00,-1.00,0.00,unknown,no
64.00,retired,married,primary,no,43.00,no,no,cellular,11.00,mar,117.00,1.00,91.00,1.00,success,no
47.00,technician,married,secondary,no,57.00,no,no,cellular,5.00,may,253.00,1.00,342.00,1.00,success,no
40.00,management,married,tertiary,no,-117.00,yes,no,cellular,17.00,jul,770.00,2.00,-1.00,0.00,unknown,no
36.00,technician,divorced,secondary,no,666.00,yes,yes,cellular,3.00,apr,190.00,1.00,133.00,1.00,other,no
28.00,management,single,tertiary,no,0.00,yes,no,cellular,16.00,jul,767.00,5.00,-1.00,0.00,unknown,yes
38.00,technician,single,tertiary,no,25.00,yes,no,cellular,1.00,jun,232.00,2.00,-1.00,0.00,unknown,yes
53.00,entrepreneur,married,primary,no,1034.00,yes,no,cellular,19.00,nov,854.00,2.00,170.00,3.00,other,no
46.00,blue-collar,single,secondary,no,324.00,yes,no,unknown,30.00,may,293.00,6.00,-1.00,0.00,unknown,no
54.00,technician,married,secondary,no,0.00,no,no,telephone,16.00,nov,986.00,1.00,94.00,8.00,failure,no
32.00,management,married,tertiary,no,0.00,no,no,cellular,19.00,nov,66.00,1.00,-1.00,0.00,unknown,no
55.00,management,married,primary,no,621.00,no,yes,cellular,2.00,feb,114.00,1.00,208.00,1.00,failure,no
55.00,retired,divorced,secondary,no,138.00,no,no,cellular,17.00,jul,205.00,1.00,-1.00,0.00,unknown,no
56.00,technician,married,secondary,no,4063.00,no,yes,telephone,28.00,jul,31.00,4.00,-1.00,0.00,unknown,no
40.00,blue-collar,married,secondary,no,11084.00,no,no,unknown,11.00,jun,113.00,1.00,-1.00,0.00,unknown,no
44.00,technician,married,secondary,no,310.00,yes,no,cellular,6.00,feb,200.00,1.00,253.00,1.00,failure,no
32.00,entrepreneur,married,unknown,no,73.00,yes,no,cellular,21.00,nov,158.00,1.00,135.00,1.00,failure,no
33.00,management,married,tertiary,no,1808.00,yes,no,unknown,4.00,jun,99.00,4.00,-1.00,0.00,unknown,no
41.00,unemployed,divorced,secondary,no,1281.00,no,no,cellular,31.00,jul,45.00,3.00,-1.00,0.00,unknown,no
37.00,technician,married,secondary,no,64.00,yes,no,cellular,12.00,may,239.00,4.00,278.00,2.00,other,no
58.00,management,single,tertiary,no,2.00,yes,no,telephone,11.00,may,168.00,3.00,-1.00,0.00,unknown,no
52.00,blue-collar,married,secondary,no,60.00,no,yes,cellular,26.00,aug,196.00,2.00,-1.00,0.00,unknown,no
49.00,services,single,secondary,no,133.00,no,no,unknown,11.00,jun,319.00,6.00,-1.00,0.00,unknown,no
44.00,housemaid,married,primary,no,3706.00,no,no,unknown,17.00,jun,209.00,3.00,-1.00,0.00,unknown,no
28.00,admin.,single,unknown,no,174.00,no,no,cellular,28.00,sep,184.00,1.00,-1.00,0.00,unknown,no
31.00,technician,married,secondary,no,251.00,no,yes,cellular,29.00,aug,156.00,2.00,-1.00,0.00,unknown,no
37.00,self-employed,married,secondary,no,4153.00,yes,no,cellular,31.00,jul,35.00,16.00,-1.00,0.00,unknown,no
30.00,technician,single,tertiary,no,985.00,yes,no,cellular,19.00,feb,88.00,2.00,-1.00,0.00,unknown,no
28.00,services,single,secondary,no,168.00,no,no,cellular,1.00,jun,347.00,3.00,140.00,2.00,success,yes
46.00,services,married,secondary,no,1550.00,yes,no,cellular,16.00,apr,126.00,2.00,149.00,8.00,failure,no
47.00,management,married,tertiary,no,7708.00,yes,no,cellular,21.00,nov,157.00,5.00,-1.00,0.00,unknown,no
35.00,blue-collar,married,primary,no,-12.00,yes,no,unknown,12.00,may,212.00,5.00,-1.00,0.00,unknown,no
80.00,management,married,primary,no,6483.00,no,no,telephone,19.00,oct,123.00,1.00,-1.00,0.00,unknown,no
30.00,technician,single,tertiary,no,60.00,yes,yes,unknown,7.00,may,306.00,5.00,-1.00,0.00,unknown,no
55.00,technician,single,secondary,no,3339.00,yes,no,unknown,2.00,jun,63.00,1.00,-1.00,0.00,unknown,no
22.00,student,single,tertiary,no,1161.00,no,yes,cellular,16.00,jun,119.00,1.00,-1.00,0.00,unknown,no
33.00,blue-collar,single,primary,no,599.00,yes,no,unknown,21.00,may,29.00,1.00,-1.00,0.00,unknown,no
53.00,entrepreneur,married,unknown,no,28.00,no,no,cellular,31.00,jul,117.00,2.00,-1.00,0.00,unknown,no
49.00,management,married,tertiary,no,1430.00,no,no,cellular,18.00,nov,231.00,2.00,-1.00,0.00,unknown,no
51.00,retired,married,secondary,no,35.00,no,yes,cellular,8.00,jul,123.00,4.00,-1.00,0.00,unknown,no
41.00,self-employed,married,tertiary,no,6000.00,yes,no,cellular,18.00,nov,265.00,1.00,-1.00,0.00,unknown,no
34.00,technician,married,secondary,no,0.00,yes,no,cellular,15.00,jul,144.00,1.00,-1.00,0.00,unknown,no
36.00,blue-collar,single,secondary,no,340.00,no,yes,unknown,16.00,jun,559.00,3.00,-1.00,0.00,unknown,no
35.00,entrepreneur,married,tertiary,no,0.00,no,no,cellular,5.00,may,74.00,1.00,168.00,4.00,failure,no
29.00,services,married,secondary,no,3.00,yes,no,cellular,10.00,jul,183.00,1.00,-1.00,0.00,unknown,no
40.00,technician,single,tertiary,no,445.00,yes,no,cellular,24.00,jul,631.00,1.00,-1.00,0.00,unknown,no
32.00,management,divorced,tertiary,no,874.00,no,no,cellular,12.00,aug,1282.00,6.00,-1.00,0.00,unknown,yes
48.00,blue-collar,married,secondary,no,705.00,no,no,unknown,13.00,may,108.00,2.00,-1.00,0.00,unknown,no
59.00,retired,married,unknown,no,1033.00,no,no,unknown,11.00,jun,1199.00,1.00,-1.00,0.00,unknown,yes
35.00,self-employed,divorced,tertiary,no,1354.00,yes,no,unknown,23.00,may,736.00,2.00,-1.00,0.00,unknown,yes
33.00,technician,single,tertiary,no,123.00,no,no,cellular,19.00,aug,264.00,1.00,-1.00,0.00,unknown,no
55.00,retired,married,primary,no,8894.00,no,no,unknown,11.00,jun,262.00,1.00,-1.00,0.00,unknown,no
41.00,blue-collar,married,secondary,no,429.00,yes,no,unknown,13.00,may,244.00,1.00,-1.00,0.00,unknown,no
42.00,housemaid,married,primary,no,14752.00,no,no,unknown,19.00,may,107.00,2.00,-1.00,0.00,unknown,no
46.00,blue-collar,married,primary,no,67.00,no,no,unknown,24.00,jun,9.00,1.00,-1.00,0.00,unknown,no
35.00,housemaid,divorced,secondary,no,39.00,no,no,cellular,31.00,jul,149.00,2.00,-1.00,0.00,unknown,no
28.00,technician,single,tertiary,no,102.00,no,no,cellular,28.00,jan,321.00,2.00,-1.00,0.00,unknown,no
25.00,student,single,secondary,no,1790.00,no,no,cellular,17.00,apr,224.00,1.00,322.00,3.00,failure,no
56.00,management,single,tertiary,no,15311.00,no,no,cellular,29.00,apr,157.00,6.00,-1.00,0.00,unknown,no
30.00,admin.,single,secondary,no,-635.00,no,no,cellular,25.00,jul,250.00,1.00,-1.00,0.00,unknown,no
45.00,blue-collar,married,secondary,no,115.00,no,no,cellular,11.00,aug,209.00,4.00,-1.00,0.00,unknown,no
40.00,management,married,tertiary,no,10786.00,no,no,unknown,20.00,jun,111.00,3.00,-1.00,0.00,unknown,no
40.00,blue-collar,married,secondary,no,498.00,yes,no,cellular,8.00,may,55.00,2.00,298.00,4.00,failure,no
39.00,blue-collar,married,secondary,no,1045.00,yes,yes,cellular,9.00,jul,290.00,13.00,-1.00,0.00,unknown,no
48.00,entrepreneur,married,tertiary,no,810.00,no,no,unknown,6.00,jun,383.00,1.00,-1.00,0.00,unknown,no
31.00,technician,single,tertiary,no,-162.00,yes,no,cellular,18.00,may,380.00,1.00,-1.00,0.00,unknown,no
32.00,management,married,tertiary,no,55.00,no,no,cellular,2.00,feb,124.00,3.00,-1.00,0.00,unknown,no
34.00,services,married,secondary,no,586.00,yes,yes,unknown,8.00,may,224.00,2.00,-1.00,0.00,unknown,no
26.00,technician,single,secondary,no,455.00,no,no,cellular,29.00,jan,240.00,1.00,182.00,8.00,other,no
31.00,management,married,tertiary,no,1010.00,yes,no,cellular,15.00,may,385.00,3.00,364.00,9.00,other,no
37.00,management,single,tertiary,no,509.00,yes,no,cellular,6.00,may,133.00,1.00,-1.00,0.00,unknown,no
29.00,student,single,unknown,no,2929.00,no,no,cellular,11.00,aug,91.00,1.00,-1.00,0.00,unknown,no
57.00,technician,married,secondary,no,3071.00,yes,yes,cellular,7.00,may,63.00,3.00,-1.00,0.00,unknown,no
47.00,management,single,tertiary,no,153.00,yes,no,cellular,18.00,nov,192.00,2.00,-1.00,0.00,unknown,no
38.00,self-employed,single,secondary,no,1146.00,yes,no,unknown,21.00,may,91.00,2.00,-1.00,0.00,unknown,no
48.00,blue-collar,married,primary,no,1092.00,no,yes,cellular,18.00,nov,79.00,1.00,172.00,8.00,failure,no
50.00,management,married,tertiary,no,3463.00,no,yes,cellular,28.00,oct,96.00,1.00,-1.00,0.00,unknown,yes
33.00,admin.,married,secondary,no,1158.00,yes,no,cellular,20.00,apr,25.00,2.00,-1.00,0.00,unknown,no
28.00,admin.,single,secondary,no,26.00,yes,no,cellular,7.00,may,227.00,2.00,-1.00,0.00,unknown,no
30.00,services,single,secondary,no,566.00,no,no,cellular,5.00,feb,110.00,1.00,-1.00,0.00,unknown,no
52.00,technician,divorced,secondary,no,204.00,no,no,cellular,7.00,aug,134.00,2.00,-1.00,0.00,unknown,no
36.00,technician,married,secondary,no,480.00,no,no,cellular,20.00,oct,213.00,1.00,-1.00,0.00,unknown,yes
36.00,technician,single,secondary,no,1855.00,yes,no,cellular,4.00,feb,75.00,1.00,273.00,1.00,failure,no
46.00,services,married,secondary,no,1034.00,no,no,cellular,8.00,aug,109.00,2.00,-1.00,0.00,unknown,no
57.00,management,married,tertiary,no,3250.00,no,no,cellular,20.00,aug,162.00,3.00,-1.00,0.00,unknown,no
28.00,management,single,secondary,no,1633.00,no,no,cellular,5.00,jun,275.00,1.00,-1.00,0.00,unknown,yes
46.00,services,married,secondary,no,0.00,yes,no,cellular,22.00,jun,154.00,1.00,124.00,1.00,other,no
55.00,retired,married,primary,no,3334.00,no,no,cellular,14.00,aug,632.00,4.00,-1.00,0.00,unknown,yes
33.00,management,married,tertiary,no,4020.00,yes,yes,cellular,15.00,apr,251.00,1.00,-1.00,0.00,unknown,no
53.00,management,married,secondary,no,66.00,no,yes,telephone,8.00,jul,141.00,1.00,-1.00,0.00,unknown,no
41.00,technician,single,secondary,no,-41.00,yes,yes,cellular,3.00,apr,154.00,1.00,-1.00,0.00,unknown,no
60.00,blue-collar,married,secondary,no,322.00,yes,no,cellular,7.00,may,63.00,1.00,-1.00,0.00,unknown,no
35.00,entrepreneur,married,primary,no,2643.00,no,yes,cellular,8.00,jul,259.00,1.00,-1.00,0.00,unknown,no
43.00,blue-collar,divorced,primary,no,49.00,yes,no,unknown,9.00,may,100.00,1.00,-1.00,0.00,unknown,no
57.00,admin.,divorced,primary,no,1.00,no,no,unknown,15.00,may,17.00,10.00,-1.00,0.00,unknown,no
46.00,admin.,married,secondary,no,3098.00,yes,no,telephone,21.00,nov,192.00,9.00,-1.00,0.00,unknown,no
31.00,blue-collar,married,primary,no,352.00,yes,no,unknown,19.00,may,97.00,9.00,-1.00,0.00,unknown,no
53.00,technician,married,secondary,no,65.00,no,no,cellular,25.00,aug,41.00,2.00,-1.00,0.00,unknown,no
35.00,blue-collar,married,secondary,no,1949.00,yes,no,unknown,2.00,jun,200.00,3.00,-1.00,0.00,unknown,no
32.00,admin.,single,secondary,no,739.00,yes,no,cellular,20.00,nov,91.00,3.00,-1.00,0.00,unknown,no
48.00,management,married,tertiary,no,1167.00,yes,yes,cellular,1.00,jun,264.00,1.00,-1.00,0.00,unknown,yes
50.00,admin.,married,secondary,no,231.00,yes,no,cellular,21.00,nov,397.00,2.00,-1.00,0.00,unknown,no
40.00,blue-collar,married,primary,no,1136.00,yes,no,unknown,21.00,may,86.00,1.00,-1.00,0.00,unknown,no
42.00,entrepreneur,married,tertiary,no,233.00,no,no,cellular,5.00,feb,446.00,1.00,-1.00,0.00,unknown,no
59.00,admin.,married,secondary,no,817.00,no,no,cellular,9.00,apr,304.00,1.00,-1.00,0.00,unknown,no
27.00,blue-collar,single,primary,no,1128.00,yes,no,unknown,30.00,jun,88.00,4.00,-1.00,0.00,unknown,no
32.00,management,single,tertiary,no,1831.00,yes,no,cellular,20.00,apr,86.00,2.00,-1.00,0.00,unknown,no
35.00,technician,single,secondary,no,450.00,yes,no,cellular,13.00,may,63.00,1.00,-1.00,0.00,unknown,no
28.00,services,married,secondary,no,0.00,yes,no,cellular,5.00,may,335.00,2.00,281.00,8.00,failure,no
37.00,management,divorced,secondary,no,414.00,no,no,cellular,29.00,jan,293.00,2.00,162.00,4.00,failure,no
57.00,management,married,primary,no,1052.00,yes,no,unknown,13.00,may,227.00,4.00,-1.00,0.00,unknown,no
42.00,admin.,single,secondary,no,1022.00,yes,no,unknown,5.00,may,146.00,2.00,-1.00,0.00,unknown,no
55.00,admin.,married,primary,no,343.00,yes,no,cellular,14.00,jul,276.00,3.00,-1.00,0.00,unknown,no
52.00,management,married,tertiary,no,1944.00,yes,no,cellular,15.00,apr,238.00,3.00,323.00,2.00,failure,no
26.00,blue-collar,single,secondary,no,-32.00,yes,yes,cellular,31.00,jul,14.00,6.00,-1.00,0.00,unknown,no
52.00,technician,married,secondary,no,1781.00,yes,no,unknown,19.00,may,144.00,2.00,-1.00,0.00,unknown,no
26.00,management,single,tertiary,no,350.00,no,no,cellular,8.00,jul,367.00,1.00,-1.00,0.00,unknown,no
33.00,unemployed,married,secondary,no,2.00,yes,no,cellular,16.00,jul,132.00,1.00,-1.00,0.00,unknown,no
24.00,blue-collar,single,primary,no,111.00,yes,yes,unknown,27.00,may,42.00,4.00,-1.00,0.00,unknown,no
37.00,management,divorced,tertiary,no,168.00,yes,no,unknown,5.00,jun,227.00,1.00,-1.00,0.00,unknown,no
28.00,technician,single,secondary,no,3.00,no,no,telephone,18.00,may,40.00,8.00,349.00,6.00,failure,no
30.00,technician,single,secondary,no,102.00,yes,no,unknown,7.00,may,614.00,2.00,-1.00,0.00,unknown,no
33.00,blue-collar,married,primary,no,0.00,yes,no,unknown,15.00,may,270.00,1.00,-1.00,0.00,unknown,no
